id,text,translation,source_citation,parses
gr-s27,"Ὁ Ἰησοῦς ἔκρινεν τοὺς πονηρούς.","Jesus was judging the wicked.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;Iesous|Ἰησοῦς|case=nom,number=sg,gender=m;krino|ἔκρινεν|person=3,number=sg,tense=imperf,mood=ind,voice=act;ho|τοὺς|case=acc,number=pl,gender=m;poneros|πονηρούς|case=acc,number=pl,gender=m"
gr-s28,"Οἱ μαθηταὶ προσεύχονται ἐν τῇ συναγωγῇ.","The disciples pray in the synagogue.",constructed for practice,"ho|Οἱ|case=nom,number=pl,gender=m;mathetes|μαθηταὶ|case=nom,number=pl,gender=m;proseuchomai|προσεύχονται|person=3,number=pl,tense=pres,mood=ind,voice=mid;en|ἐν|type=prep;ho|τῇ|case=dat,number=sg,gender=f;synagoge|συναγωγῇ|case=dat,number=sg,gender=f"
gr-s29,"Ὁ βασιλεύς ἐστι μέγας καὶ σοφός.","The king is great and wise.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;basileus|βασιλεύς|case=nom,number=sg,gender=m;eimi|ἐστι|person=3,number=sg,tense=pres,mood=ind,voice=act;megas|μέγας|case=nom,number=sg,gender=m;kai|καὶ|type=conj;sophos|σοφός|case=nom,number=sg,gender=m"
gr-s30,"Οἱ ἄνθρωποι βλέπουσι τὴν δόξαν τοῦ θεοῦ.","The people see the glory of God.",constructed for practice,"ho|Οἱ|case=nom,number=pl,gender=m;anthropos|ἄνθρωποι|case=nom,number=pl,gender=m;horao|βλέπουσι|person=3,number=pl,tense=pres,mood=ind,voice=act;ho|τὴν|case=acc,number=sg,gender=f;doxa|δόξαν|case=acc,number=sg,gender=f;ho|τοῦ|case=gen,number=sg,gender=m;theos|θεοῦ|case=gen,number=sg,gender=m"
gr-s31,"Ὁ υἱὸς φιλεῖ τὸν πατέρα.","The son loves the father.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;huios|υἱὸς|case=nom,number=sg,gender=m;phileo|φιλεῖ|person=3,number=sg,tense=pres,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;pater|πατέρα|case=acc,number=sg,gender=m"
gr-s32,"Ἔσθιομεν τὸν ἄρτον καὶ πίνομεν τὸ ὕδωρ.","We eat the bread and drink the water.",constructed for practice,"esthio|Ἔσθιομεν|person=1,number=pl,tense=pres,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;artos|ἄρτον|case=acc,number=sg,gender=m;kai|καὶ|type=conj;pino|πίνομεν|person=1,number=pl,tense=pres,mood=ind,voice=act;ho|τὸ|case=acc,number=sg,gender=n;hydor|ὕδωρ|case=acc,number=sg,gender=n"
gr-s33,"Ὁ πατὴρ ἐκάλει τὰ τέκνα εἰς τὸν τόπον.","The father was calling the children to the place.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;pater|πατὴρ|case=nom,number=sg,gender=m;kaleo|ἐκάλει|person=3,number=sg,tense=imperf,mood=ind,voice=act;ho|τὰ|case=acc,number=pl,gender=n;teknon|τέκνα|case=acc,number=pl,gender=n;eis|εἰς|type=prep;ho|τὸν|case=acc,number=sg,gender=m;topos|τόπον|case=acc,number=sg,gender=m"
gr-s34,"Οἱ στρατιῶται εὗρον τὸν θάνατον ἐν τῇ μάχῃ.","The soldiers found death in the battle.",constructed for practice,"ho|Οἱ|case=nom,number=pl,gender=m;stratiotes|στρατιῶται|case=nom,number=pl,gender=m;heurisko|εὗρον|person=3,number=pl,tense=aor,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;thanatos|θάνατον|case=acc,number=sg,gender=m;en|ἐν|type=prep;ho|τῇ|case=dat,number=sg,gender=f;mache|μάχῃ|case=dat,number=sg,gender=f"
gr-s35,"Ὁ κύριος δοξάζει τοὺς ἀληθεῖς δοῦλους.","The lord glorifies the true servants.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;kyrios|κύριος|case=nom,number=sg,gender=m;doxazo|δοξάζει|person=3,number=sg,tense=pres,mood=ind,voice=act;ho|τοὺς|case=acc,number=pl,gender=m;alethes|ἀληθεῖς|case=acc,number=pl,gender=m;doulos|δούλους|case=acc,number=pl,gender=m"
gr-s36,"Ἡ εἰρήνη τοῦ θεοῦ σῴζει τὴν ψυχήν.","The peace of God saves the soul.",constructed for practice,"ho|Ἡ|case=nom,number=sg,gender=f;eirene|εἰρήνη|case=nom,number=sg,gender=f;ho|τοῦ|case=gen,number=sg,gender=m;theos|θεοῦ|case=gen,number=sg,gender=m;sozo|σῴζει|person=3,number=sg,tense=pres,mood=ind,voice=act;ho|τὴν|case=acc,number=sg,gender=f;psyche|ψυχήν|case=acc,number=sg,gender=f"
gr-s37,"Ὁ θεράπων ἐθεράπευσε τὸν ὀφθαλμὸν τοῦ παιδός.","The servant healed the eye of the child.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;therapon|θεράπων|case=nom,number=sg,gender=m;therapeuo|ἐθεράπευσε|person=3,number=sg,tense=aor,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;ophthalmos|ὀφθαλμὸν|case=acc,number=sg,gender=m;ho|τοῦ|case=gen,number=sg,gender=m;pais|παιδός|case=gen,number=sg,gender=m"
gr-s38,"Οἱ πολῖται ἐκήρυσσον τὸ εὐαγγέλιον ἐν τῇ γῇ.","The citizens were proclaiming the gospel in the land.",constructed for practice,"ho|Οἱ|case=nom,number=pl,gender=m;polites|πολῖται|case=nom,number=pl,gender=m;kerysso|ἐκήρυσσον|person=3,number=pl,tense=imperf,mood=ind,voice=act;ho|τὸ|case=acc,number=sg,gender=n;euangelion|εὐαγγέλιον|case=acc,number=sg,gender=n;en|ἐν|type=prep;ho|τῇ|case=dat,number=sg,gender=f;ge|γῇ|case=dat,number=sg,gender=f"
gr-s39,"Ὁ θεὸς ἀπέστειλε τὸν υἱὸν διὰ τὴν ἀγάπην.","God sent the son because of love.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;theos|θεὸς|case=nom,number=sg,gender=m;apostello|ἀπέστειλε|person=3,number=sg,tense=aor,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;huios|υἱὸν|case=acc,number=sg,gender=m;dia|διά|type=prep;ho|τὴν|case=acc,number=sg,gender=f;agape|ἀγάπην|case=acc,number=sg,gender=f"
gr-s40,"Ἡ ἐξουσία τοῦ βασιλέως ἐστὶ μεγάλη.","The authority of the king is great.",constructed for practice,"ho|Ἡ|case=nom,number=sg,gender=f;exousia|ἐξουσία|case=nom,number=sg,gender=f;ho|τοῦ|case=gen,number=sg,gender=m;basileus|βασιλέως|case=gen,number=sg,gender=m;eimi|ἐστὶ|person=3,number=sg,tense=pres,mood=ind,voice=act;megas|μεγάλη|case=nom,number=sg,gender=f"
gr-s41,"Χαίρομεν ἐν τῇ ἡμέρᾳ τοῦ κυρίου.","We rejoice in the day of the Lord.",constructed for practice,"chairo|Χαίρομεν|person=1,number=pl,tense=pres,mood=ind,voice=act;en|ἐν|type=prep;ho|τῇ|case=dat,number=sg,gender=f;hemera|ἡμέρᾳ|case=dat,number=sg,gender=f;ho|τοῦ|case=gen,number=sg,gender=m;kyrios|κυρίου|case=gen,number=sg,gender=m"
